Country of Destiny,CountryDestinyEN
nicaragua,NICARAGUA
mexico,MEXICO
uruguay,URUGUAY
argentina,ARGENTINA
aruba,ARUBA
benin,BENIN
brasil,BRAZIL
panama,PANAMA
japon,JAPAN
corea sur republica de,SOUTH KOREA REPUBLIC OF
espana,SPAIN
paraguay,PARAGUAY
surinam,SURINAME
zona franca barranquilla,FREE ZONE BARRANQUILLA
brasil,BRAZIL
panama,PANAMA
japon,JAPAN
corea sur republica de,SOUTH KOREA REPUBLIC OF
espana,SPAIN
paraguay,PARAGUAY
surinam,SURINAME
zona franca barranquilla,FREE ZONE BARRANQUILLA
venezuela,VENEZUELA
costa rica,COSTA RICA
zfpe  colombina del cauca,ZFPE COLOMBINA DEL CAUCA
zfp centro logistico del pacifico celpa,ZFP LOGISTICAL CENTER OF PACIFIC CELPA
zf cencauca parque indl caloto,ZF CENCAUCA PARQUE INDL CALOTO
zona franca cartagena,FREE ZONE CARTAGENA
zona franca las americas,FREE ZONE LAS AMERICAS
nueva zelandia,NEW ZEALAND
dominica,DOMINICA
antillas holandesas,NETHERLANDS ANTILLES
haiti,HAITI
cuba,CUBA
guatemala,GUATEMALA
honduras,HONDURAS
ecuador,ECUADOR
republica checa,CZECH REPUBLIC
bolivia,BOLIVIA
turquia,TURKEY
ucrania,UKRAINE
curazao,CURACAO
congo,CONGO
china,CHINA
canadá,CANADA
alemania,GERMANY
corrí,IRAN
mozambique,MOZAMBIQUE
pakistán,PAKISTAN
seychelles,SEYCHELLES
finlandia,FINLAND
estados unidos,UNITED STATES
república dominicana,DOMINICAN REPUBLIC
kazajstán,KAZAKHSTAN
senegal,SENEGAL
india,INDIA
emiratos árabes unidos,UNITED ARAB EMIRATES
bahrein,BAHRAIN
chile,CHILE
kuwait,KUWAIT
méjico,MEXICO
turquía,TURKEY
bélgica,BELGIUM
kirguistán,KYRGYZSTAN
filipinas,PHILIPPINES
francia,FRANCE
italia,ITALY
mauritania,MAURITANIA
montenegro,MONTENEGRO
níger,NIGER
san cristóbal y nieves,SAINT KITTS AND NEVIS
serbia,SERBIA
"macedonia, fyr","MACEDONIA, FYR"
grecia,GREECE
costa de marfil,COTE D'IVOIRE
países bajos,NETHERLANDS
suiza,SWITZERLAND
egipto,EGYPT
bulgaria,BULGARIA
croacia,CROATIA
dinamarca,DENMARK
nueva caledonia,NEW CALEDONIA
burkina faso,BURKINA FASO
luxemburgo,LUXEMBOURG
malí,MALI
nicaragua,NICARAGUA
nigeria,NIGERIA
españa,SPAIN
suecia,SWEDEN
rumania,ROMANIA
arabia saudita,SAUDI ARABIA
túnez,TUNISIA
uganda,UGANDA
angola,ANGOLA
austria,AUSTRIA
"congo, dem. reps.","CONGO, DEM. REP."
gambia,GAMBIA
ghana,GHANA
japón,JAPAN
jordán,JORDAN
líbano,LEBANON
libia,LIBYA
reino unido,UNITED KINGDOM
benin,BENIN
"corea, rep.","KOREA, REP."
malasia,MALAYSIA
sri lanka,SRI LANKA
guinea,GUINEA
"china, región administrativa especial de hong kong","CHINA, HONG KONG SAR"
tonga,TONGA
samoa,SAMOA
camerún,CAMEROON
ir,TOGO
comoras,COMOROS
zimbabue,ZIMBABWE
zambia,ZAMBIA
botswana,BOTSWANA
etiopía,ETHIOPIA
moldavia,MOLDOVA
ruanda,RWANDA
irlanda,IRELAND
federación rusa,RUSSIAN FEDERATION
yemen,YEMEN
namibia,NAMIBIA
"congo, rep.","CONGO, REP."
santo tomé y príncipe,SAO TOME AND PRINCIPE
sudáfrica,SOUTH AFRICA
albania,ALBANIA
islas vírgenes británicas,BRITISH VIRGIN ISDS
montserrat,MONTSERRAT
curacao,CURACAO
portugal,PORTUGAL
san vicente y las granadinas,SAINT VINCENT AND THE GRENADINES
"áreas, nep","AREAS, NES"
dominica,DOMINICA
malta,MALTA
guayana,GUYANA
santa lucía,SAINT LUCIA
solomon isds,SOLOMON ISDS
china,CHINA
georgia,GEORGIA
israel,ISRAEL
belarús,BELARUS
irak,IRAQ
tailandia,THAILAND
tayikistán,TAJIKISTAN
turkmenistán,TURKMENISTAN
afganistán,AFGHANISTAN
argelia,ALGERIA
andorra,ANDORRA
azerbaiyán,AZERBAIJAN
argentina,ARGENTINA
australia,AUSTRALIA
bahamas,BAHAMAS
bangladesh,BANGLADESH
armenia,ARMENIA
barbados,BARBADOS
bolivia,BOLIVIA
bosnia herzegovina,BOSNIA HERZEGOVINA
brasil,BRAZIL
belice,BELIZE
burundi,BURUNDI
cabo verde,CABO VERDE
colombia,COLOMBIA
costa rica,COSTA RICA
cuba,CUBA
chipre,CYPRUS
república checa.,CZECH REP.
ecuador,ECUADOR
el salvador,EL SALVADOR
guinea ecuatorial,EQUATORIAL GUINEA
estonia,ESTONIA
polinesia francés,FRENCH POLYNESIA
djibouti,DJIBOUTI
gabón,GABON
estado de palestina,STATE OF PALESTINE
guatemala,GUATEMALA
haití,HAITI
honduras,HONDURAS
hungría,HUNGARY
indonesia,INDONESIA
jamaica,JAMAICA
kenia,KENYA
letonia,LATVIA
liberia,LIBERIA
lituania,LITHUANIA
madagascar,MADAGASCAR
malawi,MALAWI
mauricio,MAURITIUS
"otros asia, nes","OTHER ASIA, NES"
marruecos,MOROCCO
omán,OMAN
nepal,NEPAL
aruba,ARUBA
nueva zelanda,NEW ZEALAND
noruega,NORWAY
panamá,PANAMA
paraguay,PARAGUAY
perú,PERU
polonia,POLAND
guinea-bissau,GUINEA-BISSAU
katar,QATAR
sierra leona,SIERRA LEONE
singapur,SINGAPORE
eslovaquia,SLOVAKIA
vietnam,VIETNAM
eslovenia,SLOVENIA
suriname,SURINAME
siria,SYRIA
trinidad y tobago,TRINIDAD AND TOBAGO
ucrania,UKRAINE
tanzania,TANZANIA
zonas libres,FREE ZONES
uruguay,URUGUAY
venezuela,VENEZUELA
camboya,CAMBODIA
eritrea,ERITREA
sudán,SUDAN
brunei darussalam,BRUNEI DARUSSALAM
islandia,ICELAND
maldivas,MALDIVES
antigua y barbuda,ANTIGUA AND BARBUDA
"china, rae de macao","CHINA, MACAO SAR"
sudán del sur,SOUTH SUDAN
antártida,ANTARCTICA
myanmar,MYANMAR
navidad,CHRISTMAS ISDS
cocineros,COOK ISDS
fiyi,FIJI
kiribati,KIRIBATI
guam,GUAM
"corea, dem. reps.","KOREA, DEM. REP."
república democrática popular lao,LAO PDR
mongolia,MONGOLIA
nauru,NAURU
vanuatu,VANUATU
norfolk isds,NORFOLK ISDS
n. mariana isds,N. MARIANA ISDS
micronesia,MICRONESIA
marshall isds,MARSHALL ISDS
palau,PALAU
papúa nueva guinea,PAPUA NEW GUINEA
timor oriental,TIMOR-LESTE
fmr sudán,FMR SUDAN
tuvalu,TUVALU
wallis y futuna isds,WALLIS AND FUTUNA ISDS
samoa americana,AMERICAN SAMOA
santa elena,SAINT HELENA
bunkers,BUNKERS
islas bermudas,BERMUDA
uzbekistán,UZBEKISTAN
tierra verde,GREENLAND
swazilandia,SWAZILAND
granada,GRENADA
rep. centroafricana,CENTRAL AFRICAN REP.
chad,CHAD
mayotte,MAYOTTE
lesoto,LESOTHO
faeroe isds,FAEROE ISDS
san pedro y miquelón,SAINT PIERRE AND MIQUELON
territorios franceses del sur,FRENCH SOUTHERN TERRITORIES
bonaire,BONAIRE
anguila,ANGUILLA
san marino,SAN MARINO
santa sede,HOLY SEE
sint maarten (parte holandesa),SINT MAARTEN (DUTCH PART)
"otros áfrica, nes","OTHER AFRICA, NES"
cayman isds,CAYMAN ISDS
islas turcas y caicos,TURKS AND CAICOS ISDS
categorías especiales,SPECIAL CATEGORIES
falkland isds (malvinas),FALKLAND ISDS (MALVINAS)
estados unidos minor outlying isds,UNITED STATES MINOR OUTLYING ISDS
somalia,SOMALIA
"oceanía, nes","OCEANIA, NES"
"otras europa, nes","OTHER EUROPE, NES"
bután,BHUTAN
isla de heard y mcdonald isds,HEARD ISLAND AND MCDONALD ISDS
niue,NIUE
san bartolomé,SAINT-BARTHELEMY
gibraltar,GIBRALTAR
"asociación latinoamericana de integración, nes","LATIN AMERICAN INTEGRATION ASSOCIATION, NES"
pitcairn,PITCAIRN
territorio británico del océano índico,BRITISH INDIAN OCEAN TERRITORY
tokelau,TOKELAU
isla bouvet,BOUVET ISLAND
islas cocos,COCOS ISDS
georgia del sur y sandwich del sur,SOUTH GEORGIA AND THE SOUTH SANDWICH ISDS
puerto rico,PUERTO RICO
nos.,U.S.
corea del sur república de,SOUTH KOREA REPUBLIC OF
curazao,CURAZAO
zona libre biocombustible dl caribe,FREE ZONE BIOCOMBUSTIBLE DL CARIBBEAN
zona libre barranquilla,FREE ZONE BARRANQUILLA
hong kong,HONG KONG
san martin (holandés),SAN MARTIN (DUTCH)
rusia,RUSSIA
corea del sur,SOUTH KOREA
taiwán,TAIWAN
islas turcas y caicos,TURKS AND CAICOS ISLANDS
cabo verde,CAPE VERDE
isla de dominica,DOMINICA ISLAND
st. vicente y las granadinas,ST. VICENT AND THE GRENADINES
st. kitts y nevis,ST. KITTS AND NEVIS
república democrática del congo,CONGO DEMOCRATIC REPUBLIC OF THE
república árabe siria,SYRIAN ARAB REPUBLIC
zfpe colombina del cauca,ZFPE COLOMBINA DEL CAUCA
zfp centro logístico del pacífico celpa,ZFP LOGISTICAL CENTER OF PACIFIC CELPA
zf cencauca parque indl caloto,ZF CENCAUCA PARQUE INDL CALOTO
zona libre cartagena,FREE ZONE CARTAGENA
zona libre las americas,FREE ZONE LAS AMERICAS
antillas holandesas,NETHERLANDS ANTILLES
república checa,CZECH REPUBLIC
congo,CONGO
rep de georgia,REP OF GEORGIA
surinam,SURINAME
Peru,PERU
Libano,LEBANON
Jordania,JORDAN
Rusia,RUSSIA
Rep Georgiageorgia,REP OF GEORGIA
Vietnam,VIETNAM
Angola,ANGOLA
Hong Kong,HONG KONG
Egipto,EGYPT
San Martin Parte Holandesa,SAN MARTIN (DUTCH)
Paises Bajos - Holanda,NETHERLANDS
Estados Unidos,U.S.
Reino Unido,UNITED KINGDOM
Chile,CHILE
Canada,CANADA
Belgica,BELGIUM
Alemania,GERMANY
Zona Franca Biocombustible Dl Caribe S A,FREE ZONE BIOCOMBUSTIBLE DL CARIBBEAN
Republica Dominicana,DOMINICAN REPUBLIC
Guyana,GUYANA
Trinidad Y Tobago,TRINIDAD AND TOBAGO
Puerto Rico,PUERTO RICO
Francia,FRANCE
Israel,ISRAEL
Australia,AUSTRALIA
Nicaragua,NICARAGUA
Mexico,MEXICO
Uruguay,URUGUAY
Argentina,ARGENTINA
Aruba,ARUBA
Benin,BENIN
Brasil,BRAZIL
Panama,PANAMA
Japon,JAPAN
Corea Sur Republica De,SOUTH KOREA REPUBLIC OF
Espana,SPAIN
Paraguay,PARAGUAY
Surinam,SURINAME
Zona Franca Barranquilla,FREE ZONE BARRANQUILLA
Brasil,BRAZIL
Panama,PANAMA
Japon,JAPAN
Corea Sur Republica De,SOUTH KOREA REPUBLIC OF
Espana,SPAIN
Paraguay,PARAGUAY
Surinam,SURINAME
Zona Franca Barranquilla,FREE ZONE BARRANQUILLA
Venezuela,VENEZUELA
Costa Rica,COSTA RICA
Zfpe  Colombina Del Cauca,ZFPE COLOMBINA DEL CAUCA
Zfp Centro Logistico Del Pacifico Celpa,ZFP LOGISTICAL CENTER OF PACIFIC CELPA
Zf Cencauca Parque Indl Caloto,ZF CENCAUCA PARQUE INDL CALOTO
Zona Franca Cartagena,FREE ZONE CARTAGENA
Zona Franca Las Americas,FREE ZONE LAS AMERICAS
Nueva Zelandia,NEW ZEALAND
Dominica,DOMINICA
Antillas Holandesas,NETHERLANDS ANTILLES
Haiti,HAITI
Cuba,CUBA
Guatemala,GUATEMALA
Honduras,HONDURAS
Ecuador,ECUADOR
Republica Checa,CZECH REPUBLIC
Bolivia,BOLIVIA
Turquia,TURKEY
Ucrania,UKRAINE
Curazao,CURACAO
Congo,CONGO
China,CHINA
Canadá,CANADA
Alemania,GERMANY
Corrí,IRAN
Mozambique,MOZAMBIQUE
Pakistán,PAKISTAN
Seychelles,SEYCHELLES
Finlandia,FINLAND
Estados Unidos,UNITED STATES
República Dominicana,DOMINICAN REPUBLIC
Kazajstán,KAZAKHSTAN
Senegal,SENEGAL
India,INDIA
Emiratos Árabes Unidos,UNITED ARAB EMIRATES
Bahrein,BAHRAIN
Chile,CHILE
Kuwait,KUWAIT
Méjico,MEXICO
Turquía,TURKEY
Bélgica,BELGIUM
Kirguistán,KYRGYZSTAN
Filipinas,PHILIPPINES
Francia,FRANCE
Italia,ITALY
Mauritania,MAURITANIA
Montenegro,MONTENEGRO
Níger,NIGER
San Cristóbal Y Nieves,SAINT KITTS AND NEVIS
Serbia,SERBIA
"Macedonia, Fyr","MACEDONIA, FYR"
Grecia,GREECE
Costa De Marfil,COTE D'IVOIRE
Países Bajos,NETHERLANDS
Suiza,SWITZERLAND
Egipto,EGYPT
Bulgaria,BULGARIA
Croacia,CROATIA
Dinamarca,DENMARK
Nueva Caledonia,NEW CALEDONIA
Burkina Faso,BURKINA FASO
Luxemburgo,LUXEMBOURG
Malí,MALI
Nicaragua,NICARAGUA
Nigeria,NIGERIA
España,SPAIN
Suecia,SWEDEN
Rumania,ROMANIA
Arabia Saudita,SAUDI ARABIA
Túnez,TUNISIA
Uganda,UGANDA
Angola,ANGOLA
Austria,AUSTRIA
"Congo, Dem. Reps.","CONGO, DEM. REP."
Gambia,GAMBIA
Ghana,GHANA
Japón,JAPAN
Jordán,JORDAN
Líbano,LEBANON
Libia,LIBYA
Reino Unido,UNITED KINGDOM
Benin,BENIN
"Corea, Rep.","KOREA, REP."
Malasia,MALAYSIA
Sri Lanka,SRI LANKA
Guinea,GUINEA
"China, Región Administrativa Especial De Hong Kong","CHINA, HONG KONG SAR"
Tonga,TONGA
Samoa,SAMOA
