CountryDestinyEN,Importer region
FMR SUDAN,Sub-Saharan Africa
TUVALU,Oceania
WALLIS AND FUTUNA ISDS,Oceania
AMERICAN SAMOA,Oceania
SAINT HELENA,Sub-Saharan Africa
BUNKERS,Other
BERMUDA,Caribbean and Central America
UZBEKISTAN,Central and Northern Asia
GREENLAND,North America
SWAZILAND,Sub-Saharan Africa
GRENADA,Caribbean and Central America
CENTRAL AFRICAN REP.,Sub-Saharan Africa
CHAD,Sub-Saharan Africa
MAYOTTE,Sub-Saharan Africa
LESOTHO,Sub-Saharan Africa
FAEROE ISDS,Europe (other)
SAINT PIERRE AND MIQUELON,North America
FRENCH SOUTHERN TERRITORIES,Other
BONAIRE,Caribbean and Central America
ANGUILLA,Caribbean and Central America
SAN MARINO,Europe (other)
HOLY SEE,Europe (other)
SINT MAARTEN (DUTCH PART),Caribbean and Central America
"OTHER AFRICA, NES",Sub-Saharan Africa
CAYMAN ISDS,Caribbean and Central America
TURKS AND CAICOS ISDS,Caribbean and Central America
SPECIAL CATEGORIES,Other
FALKLAND ISDS (MALVINAS),South America
UNITED STATES MINOR OUTLYING ISDS,Oceania
SOMALIA,Sub-Saharan Africa
"OCEANIA, NES",Oceania
"OTHER EUROPE, NES",Europe (other)
BHUTAN,South Asia
HEARD ISLAND AND MCDONALD ISDS,Other
NIUE,Oceania
SAINT-BARTHELEMY,Caribbean and Central America
GIBRALTAR,Europe (other)
"LATIN AMERICAN INTEGRATION ASSOCIATION, NES",South America
PITCAIRN,Oceania
BRITISH INDIAN OCEAN TERRITORY,Oceania
TOKELAU,Oceania
BOUVET ISLAND,Oceania
COCOS ISDS,Oceania
SOUTH GEORGIA AND THE SOUTH SANDWICH ISDS,Other
PUERTO RICO,North America
U.S.,North America
SOUTH KOREA REPUBLIC OF,East Asia excluding China
CURAZAO,Caribbean and Central America
FREE ZONE BIOCOMBUSTIBLE DL CARIBBEAN,South America
FREE ZONE BARRANQUILLA,South America
HONG KONG,China
SAN MARTIN (DUTCH),Caribbean and Central America
RUSSIA,Central and Northern Asia
SOUTH KOREA,East Asia excluding China
TAIWAN,East Asia excluding China
TURKS AND CAICOS ISLANDS,Caribbean and Central America
CAPE VERDE,Middle East and North Africa
DOMINICA ISLAND,Caribbean and Central America
ST. VICENT AND THE GRENADINES,Caribbean and Central America
ST. KITTS AND NEVIS,Caribbean and Central America
CONGO DEMOCRATIC REPUBLIC OF THE,Sub-Saharan Africa
SYRIAN ARAB REPUBLIC,Middle East and North Africa
VENEZUELA,South America
COSTA RICA,Caribbean and Central America
ZFPE COLOMBINA DEL CAUCA,South America
ZFP LOGISTICAL CENTER OF PACIFIC CELPA,South America
ZF CENCAUCA PARQUE INDL CALOTO,South America
FREE ZONE CARTAGENA,South America
FREE ZONE LAS AMERICAS,South America
NEW ZEALAND,Oceania
DOMINICA,Caribbean and Central America
NETHERLANDS ANTILLES,Caribbean and Central America
HAITI,Caribbean and Central America
CUBA,Caribbean and Central America
GUATEMALA,Caribbean and Central America
HONDURAS,Caribbean and Central America
ECUADOR,South America
CZECH REPUBLIC,Europe (EU)
BOLIVIA,South America
TURKEY,Europe (other)
UKRAINE,Europe (other)
CURACAO,Caribbean and Central America
CONGO,Sub-Saharan Africa
REP OF GEORGIA,Central and Northern Asia
UNKNOWN,UNKNOWN
